,0
0,0.7142857142857143
1,0.6190476190476191
2,0.6666666666666666
3,0.8095238095238095
4,0.8571428571428571
5,0.6666666666666666
6,0.7142857142857143
7,0.8095238095238095
8,0.7142857142857143
9,0.7619047619047619
10,0.8571428571428571
11,0.6190476190476191
12,0.6666666666666666
13,0.8571428571428571
14,0.8095238095238095
15,0.8095238095238095
16,0.7619047619047619
17,0.6190476190476191
18,0.6190476190476191
19,0.7142857142857143
20,0.6666666666666666
21,0.8095238095238095
22,0.7142857142857143
23,0.6666666666666666
24,0.7142857142857143
25,0.47619047619047616
26,0.6190476190476191
27,0.5714285714285714
28,0.6666666666666666
29,0.7142857142857143
30,0.47619047619047616
31,0.7142857142857143
32,0.5714285714285714
33,0.5714285714285714
34,0.6190476190476191
35,0.5714285714285714
36,0.7142857142857143
37,0.5714285714285714
38,0.5238095238095238
39,0.5714285714285714
40,0.5238095238095238
41,0.38095238095238093
42,0.5714285714285714
43,0.5238095238095238
44,0.47619047619047616
45,0.5714285714285714
46,0.6666666666666666
47,0.5714285714285714
48,0.47619047619047616
49,0.47619047619047616
50,0.47619047619047616
51,0.6666666666666666
52,0.5714285714285714
53,0.5238095238095238
54,0.42857142857142855
55,0.47619047619047616
56,0.7142857142857143
57,0.6666666666666666
58,0.6190476190476191
59,0.7619047619047619
60,0.6666666666666666
61,0.6190476190476191
62,0.5238095238095238
63,0.47619047619047616
64,0.47619047619047616
65,0.6666666666666666
66,0.5714285714285714
67,0.7142857142857143
68,0.8095238095238095
69,0.6190476190476191
70,0.6190476190476191
71,0.42857142857142855
72,0.7142857142857143
73,0.5238095238095238
74,0.47619047619047616
75,0.6190476190476191
76,0.6190476190476191
77,0.5238095238095238
78,0.42857142857142855
79,0.38095238095238093
80,0.6190476190476191
81,0.5714285714285714
82,0.47619047619047616
83,0.6190476190476191
84,0.38095238095238093
85,0.5714285714285714
86,0.42857142857142855
87,0.3333333333333333
88,0.6190476190476191
89,0.5238095238095238
90,0.47619047619047616
91,0.5238095238095238
92,0.38095238095238093
93,0.47619047619047616
94,0.38095238095238093
95,0.47619047619047616
96,0.42857142857142855
97,0.38095238095238093
98,0.42857142857142855
99,0.42857142857142855
100,0.42857142857142855
101,0.47619047619047616
102,0.42857142857142855
103,0.23809523809523808
104,0.5238095238095238
105,0.38095238095238093
106,0.3333333333333333
107,0.42857142857142855
108,0.47619047619047616
109,0.47619047619047616
110,0.47619047619047616
111,0.47619047619047616
112,0.42857142857142855
113,0.38095238095238093
114,0.5714285714285714
115,0.38095238095238093
116,0.47619047619047616
117,0.3333333333333333
118,0.5714285714285714
119,0.6190476190476191
120,0.5714285714285714
121,0.42857142857142855
122,0.38095238095238093
123,0.42857142857142855
124,0.42857142857142855
125,0.38095238095238093
126,0.5238095238095238
127,0.6190476190476191
128,0.47619047619047616
129,0.5238095238095238
130,0.47619047619047616
131,0.5238095238095238
132,0.6666666666666666
133,0.42857142857142855
134,0.42857142857142855
135,0.5238095238095238
136,0.5238095238095238
137,0.6190476190476191
138,0.7619047619047619
139,0.6666666666666666
140,0.5714285714285714
141,0.6666666666666666
142,0.7142857142857143
143,0.6666666666666666
144,0.7142857142857143
145,0.7142857142857143
146,0.6666666666666666
147,0.7142857142857143
148,0.6666666666666666
149,0.7619047619047619
150,0.6190476190476191
151,0.7142857142857143
152,0.6666666666666666
153,0.7142857142857143
154,0.7619047619047619
155,0.6666666666666666
156,0.7619047619047619
157,0.6666666666666666
158,0.8571428571428571
159,0.6190476190476191
160,0.7619047619047619
161,0.7619047619047619
162,0.8571428571428571
163,0.6666666666666666
164,0.7142857142857143
165,0.7619047619047619
166,0.5714285714285714
167,0.7142857142857143
168,0.8095238095238095
169,0.6666666666666666
170,0.5238095238095238
171,0.5238095238095238
172,0.5238095238095238
173,0.5714285714285714
174,0.6666666666666666
175,0.7142857142857143
176,0.7142857142857143
177,0.6666666666666666
178,0.7142857142857143
179,0.6190476190476191
180,0.47619047619047616
181,0.38095238095238093
182,0.42857142857142855
183,0.42857142857142855
184,0.5238095238095238
185,0.23809523809523808
186,0.5238095238095238
