,sample,age1,path,sample1,age_lin
0,O 1A,,O,1,
1,O 2A,,O,2,
2,O 3A,,O,3,
3,O 4A,,O,4,
4,O 5A,,O,5,
5,O 6A,,O,6,
6,O 7A,,O,7,
7,O 8A,,O,8,
8,O 9A,,O,9,
9,O 10A,1.0,O,10,1.0
10,O 11A,,O,11,1.1
11,O 12A,,O,12,1.2
12,O 13A,,O,13,1.3
13,O 14A,,O,14,1.4
14,O 15A,,O,15,1.5
15,O 16A,,O,16,1.6
16,O 17A,,O,17,1.7000000000000002
17,O 18A,,O,18,1.8
18,O 19A,,O,19,1.9
19,O 20A,2.0,O,20,2.0
20,N 1A,,N,1,
21,N 2A,,N,2,
22,N 3A,,N,3,
23,N 4A,,N,4,
24,N 5A,,N,5,
25,N 6A,,N,6,
26,N 7A,,N,7,
27,N 8A,,N,8,
28,N 9A,,N,9,
29,N 10A,3.0,N,10,3.0
30,N 11A,,N,11,3.111111111111111
31,N 12A,,N,12,3.2222222222222223
32,N 13A,,N,13,3.3333333333333335
33,N 14A,,N,14,3.4444444444444446
34,N 15A,,N,15,3.5555555555555554
35,N 16A,,N,16,3.6666666666666665
36,N 17A,,N,17,3.7777777777777777
37,N 18A,,N,18,3.888888888888889
38,N 19A,4.0,N,19,4.0
39,N 20A,,N,20,4.166666666666667
40,N 21A,,N,21,4.333333333333333
41,N 22A,,N,22,4.5
42,N 23A,,N,23,4.666666666666667
43,N 24A,,N,24,4.833333333333333
44,N 25A,5.0,N,25,5.0
45,N 26A,,N,26,5.090909090909091
46,N 27A,,N,27,5.181818181818182
47,N 28A,,N,28,5.2727272727272725
48,N 29A,,N,29,5.363636363636363
49,N 30A,,N,30,5.454545454545455
50,N 31A,,N,31,5.545454545454545
51,N 32A,,N,32,5.636363636363637
52,N 33A,,N,33,5.7272727272727275
53,N 34A,,N,34,5.818181818181818
54,N 35A,,N,35,5.909090909090909
55,N 36A,6.0,N,36,6.0
56,N 37A,,N,37,6.1
57,N 38A,,N,38,6.2
58,N 39A,,N,39,6.3
59,N 40A,,N,40,6.4
60,N 41A,,N,41,6.5
61,N 42A,,N,42,6.6
62,N 43A,,N,43,6.7
